sessiondesc	reportdesc
Full-time MBA Everest Simulation	Team 1
Full-time MBA Everest Simulation	Team 5
Full-time MBA Everest Simulation	Team 6
Full-time MBA Everest Simulation	Team 14
Full-time MBA Everest Simulation	Team 23
Full-time MBA Everest Simulation	Team 24
Full-time MBA Everest Simulation	Team 25
Full-time MBA Everest Simulation	Team 26
